id,title,lyricsType,lyrics,audioURL,category
123,123 ร่วมกันในพระเยซู,png,https://good4.eu/songs/123.png,,เพลงสั้นสรรเสริญ 20-148
124,124 ขอทรงสอน,png,https://good4.eu/songs/124.png,,เพลงสั้นสรรเสริญ 20-148
125,125 ดั่งดาวิด,png,https://good4.eu/songs/125.png,,เพลงสั้นสรรเสริญ 20-148
126,126 ข้ายกพระนามพระเจ้าของข้า,png,https://good4.eu/songs/126.png,,เพลงสั้นสรรเสริญ 20-148
127,127 ใครเปรียบดัง,png,https://good4.eu/songs/127.png,,เพลงสั้นสรรเสริญ 20-148
128,128 แด่จอมราชานิรันดร์,png,https://good4.eu/songs/128.png,,เพลงสั้นสรรเสริญ 20-148
129,129 น้ำพุของพระเจ้าพลุ่งอยู่เสมอ,png,https://good4.eu/songs/129.png,,เพลงสั้นสรรเสริญ 20-148
130,130 ดวงใจของข้า,png,https://good4.eu/songs/130.png,,เพลงสั้นสรรเสริญ 20-148
131,131 โดยพระเจ้า,png,https://good4.eu/songs/131.png,,เพลงสั้นสรรเสริญ 20-148
132,132 โอ้อิสราเอล,png,https://good4.eu/songs/132.png,,เพลงสั้นสรรเสริญ 20-148
133,133 จงชื่นชมยินดี,png,https://good4.eu/songs/133.png,,เพลงสั้นสรรเสริญ 20-148
134,134 เยโฮวาห์ยีเรห์,png,https://good4.eu/songs/134.png,,เพลงสั้นสรรเสริญ 20-148
135,135 นั่นไม่ใช่ฤทธิ์หรือแรง,png,https://good4.eu/songs/135.png,,เพลงสั้นสรรเสริญ 20-148
136,136 ลุกขึ้นชนชาติขององค์พระเจ้า,png,https://good4.eu/songs/136.png,,เพลงสั้นสรรเสริญ 20-148
137,137 ชื่นชมยินดี,png,https://good4.eu/songs/137.png,,เพลงสั้นสรรเสริญ 20-148
138,138 โอ้เสียงแห่งความยินดี,png,https://good4.eu/songs/138.png,,เพลงสั้นสรรเสริญ 20-148
